template_code,account_code,account_name,parent_account_code,level_no,class_code,class_name,source_subaccount_code,source_subaccount_name,normal_balance,allow_manual_posting,is_control_account_default,account_type_code,notes,is_active_default
ohada_syscohada_v1,10,CAPITAL,,1,1,Permanent Resources,,,CREDIT,false,false,equity,,true
ohada_syscohada_v1,11,RESERVES (RETAINED EARNINGS),,1,1,Permanent Resources,,,CREDIT,false,false,equity,,true
ohada_syscohada_v1,12,BROUGHT FORWARD,,1,1,Permanent Resources,,,CREDIT,false,false,equity,,true
ohada_syscohada_v1,13,NET INCOME OF THE PERIOD,,1,1,Permanent Resources,,,CREDIT,false,false,equity,,true
ohada_syscohada_v1,14,INVESTMENT SUBVENTIONS,,1,1,Permanent Resources,,,CREDIT,false,false,equity,,true
ohada_syscohada_v1,15,REGULATED PROVISIONS AND RELATED FUNDS,,1,1,Permanent Resources,,,CREDIT,false,false,noncurrent_liability,,true
ohada_syscohada_v1,16,LOANS AND RELATED DEBTS,,1,1,Permanent Resources,,,CREDIT,false,false,noncurrent_liability,,true
ohada_syscohada_v1,17,LEASING DEBTS,,1,1,Permanent Resources,,,CREDIT,false,false,noncurrent_liability,,true
ohada_syscohada_v1,18,EQUITY DEBTS AND LIAISON ACCOUNTS OF SUBSIDIARY ESTABLISHMENTS AND COMPANIES,,1,1,Permanent Resources,,,CREDIT,false,false,noncurrent_liability,,true
ohada_syscohada_v1,19,PROVISIONS FOR RISKS AND EXPENDITURES,,1,1,Permanent Resources,,,CREDIT,false,false,noncurrent_liability,,true
ohada_syscohada_v1,21,INTANGIBLE FIXED ASSETS,,1,2,Non-Current Assets,,,DEBIT,false,false,noncurrent_asset,,true
ohada_syscohada_v1,22,LANDS,,1,2,Non-Current Assets,,,DEBIT,false,false,noncurrent_asset,,true
ohada_syscohada_v1,23,"BUILDINGS, TECHNICAL INSTALLATIONS AND FITTINGS",,1,2,Non-Current Assets,,,DEBIT,false,false,noncurrent_asset,,true
ohada_syscohada_v1,24,"EQUIPMENT, FURNITURE AND BIOLOGICAL ASSETS",,1,2,Non-Current Assets,,,DEBIT,false,false,noncurrent_asset,,true
ohada_syscohada_v1,25,ADVANCES & PAYMENTS ON ACCOUNT FOR FIXED ASSETS,,1,2,Non-Current Assets,,,DEBIT,false,false,noncurrent_asset,,true
ohada_syscohada_v1,26,EQUITY SECURITIES,,1,2,Non-Current Assets,,,DEBIT,false,false,noncurrent_asset,,true
ohada_syscohada_v1,27,OTHER FINANCIAL FIXED ASSETS,,1,2,Non-Current Assets,,,DEBIT,false,false,noncurrent_asset,,true
ohada_syscohada_v1,28,DEPRECIATIONS,,1,2,Non-Current Assets,,,CREDIT,false,false,contra_noncurrent_asset,,true
ohada_syscohada_v1,29,IMPAIRMENT OF FIXED ASSETS,,1,2,Non-Current Assets,,,CREDIT,false,false,contra_noncurrent_asset,,true
ohada_syscohada_v1,31,GOODS,,1,3,Inventory,,,DEBIT,false,false,inventory_asset,,true
ohada_syscohada_v1,32,RAW MATERIALS AND RELATED STORES,,1,3,Inventory,,,DEBIT,false,false,inventory_asset,,true
ohada_syscohada_v1,33,OTHER SUPPLIES,,1,3,Inventory,,,DEBIT,false,false,inventory_asset,,true
ohada_syscohada_v1,34,PRODUCTS IN PROCESS,,1,3,Inventory,,,DEBIT,false,false,inventory_asset,,true
ohada_syscohada_v1,35,SERVICES IN PROCESS,,1,3,Inventory,,,DEBIT,false,false,inventory_asset,,true
ohada_syscohada_v1,36,FINISHED PRODUCTS,,1,3,Inventory,,,DEBIT,false,false,inventory_asset,,true
ohada_syscohada_v1,37,INTERMEDIARY AND RESIDUAL PRODUCTS,,1,3,Inventory,,,DEBIT,false,false,inventory_asset,,true
